GO	fold_Enrichment	FDR	counts
negative regulation of interleukin-4 production 	43.27	0.00606	3
immunological synapse formation 	25.24	0.0181	3
cellular response to interleukin-4 	16.83	0.00166	5
negative regulation of interleukin-2 production 	15.53	0.0105	4
response to interleukin-4 	15.3	0.00234	5
regulation of interleukin-4 production 	12.62	0.0191	4
positive regulation of interleukin-10 production 	12.62	0.0046	5
regulation of interleukin-2 production 	11.22	0.000518	7
positive regulation of CD4-positive, alpha-beta T cell activation 	10.91	0.0288	4
regulation of interleukin-10 production 	10.63	0.00247	6
positive regulation of interleukin-12 production 	9.61	0.0412	4
regulation of tumor necrosis factor-mediated signaling pathway 	9.18	0.0468	4
positive regulation of alpha-beta T cell activation 	9.18	0.00458	6
positive regulation of intrinsic apoptotic signaling pathway 	8.86	0.017	5
regulation of interferon-beta production 	8.86	0.0169	5
positive regulation of type I interferon production 	8.56	0.0192	5
T cell differentiation 	7.5	6.48E-05	11
negative regulation of intrinsic apoptotic signaling pathway 	7.36	0.00436	7
negative regulation of extrinsic apoptotic signaling pathway 	7.29	0.00458	7
regulation of intrinsic apoptotic signaling pathway 	6.94	0.000123	11
positive regulation of lymphocyte proliferation	5.12	2.51E-02	7
positive regulation of leukocyte proliferation	4.71	3.69E-02	7
regulation of leukocyte proliferation	3.69	3.79E-02	9
regulation of cell population proliferation	2.2	6.94E-04	36
