	log2FoldChange	fdr
ENSG00000000419.L01	-0.159267161811952	NA
ENSG00000000457.L01	0.299464081555882	NA
ENSG00000000460.L01	0.738885245204636	NA
ENSG00000000460.L02	1.61107486948932	NA
ENSG00000000938.L01	-2.0051630699017	0.2113841385067
ENSG00000001036.L01	-0.20086559470983	NA
ENSG00000001167.L01	0.90805892600204	NA
ENSG00000001460.L01	-0.330545338787286	NA
ENSG00000001461.L01	-0.270325162872764	NA
ENSG00000001497.L01	-0.057539409414752	NA
ENSG00000001561	-2.52452254229885	NA
ENSG00000001561.L01	-2.45316737449444	NA
ENSG00000001629.L01	-0.038837609440263	NA
ENSG00000002330.L01	-0.579468068628704	NA
ENSG00000002549.L01	0.873411571090676	NA
ENSG00000002586.L01	-1.09663098661269	0.164869117369554
ENSG00000002822.L01	0.404832922201212	NA
ENSG00000002834.L01	-0.798028624568949	0.999917617278247
ENSG00000002919.L01	-0.453178837035892	NA
ENSG00000003056.L01	-0.192046716794521	0.999917617278247
ENSG00000003393.L01	0.044396842046493	NA
ENSG00000003400.L01	1.354038001032	NA
ENSG00000003402.L01	-0.419016914973731	0.999917617278247
ENSG00000003509.L01	-0.308848006047797	NA
ENSG00000003987.L01	0.519209722735638	NA
ENSG00000004142	-0.206984966456292	NA
ENSG00000004399.L01	-1.10479537468195	0.999917617278247
ENSG00000004455.L01	0.307191559096188	0.999917617278247
ENSG00000004468.L01	1.73047394655408	NA
ENSG00000004478.L01	1.94050221962974	NA
ENSG00000004487.L01	-0.285590660026735	NA
ENSG00000004660.L01	1.47472406513753	NA
ENSG00000004700.L01	-0.599082412035482	NA
ENSG00000004766.L01	0.067064587312557	NA
ENSG00000004777.L01	-0.336065247955151	NA
ENSG00000004779.L01	0.052389733731156	NA
ENSG00000004864.L01	-0.339719171767045	NA
ENSG00000004897.L01	-0.784073975887101	NA
ENSG00000004961.L01	-0.441027294277917	NA
ENSG00000004975.L01	-0.065844910051228	NA
ENSG00000005007.L01	-0.070061843591754	0.999917617278247
ENSG00000005020.L01	-0.117207357510652	NA
ENSG00000005022.L01	0.861335202409243	0.797651041834933
ENSG00000005059.L01	0.795542585714869	0.999917617278247
ENSG00000005075	-0.26955060933536	NA
ENSG00000005175.L01	0.194953824759457	NA
ENSG00000005187.L01	2.1210496464771	NA
ENSG00000005194.L01	-0.255051959982562	0.999917617278247
ENSG00000005206.L01	0.671555388696851	0.999917617278247
ENSG00000005238.L01	-1.20401014389896	NA
ENSG00000005243.L01	-1.74198709486295	NA
ENSG00000005302.L01	1.07278869500061	0.905254203826318
ENSG00000005339.L01	-0.507476747995406	0.999917617278247
ENSG00000005379.L01	-0.891368030375917	0.999917617278247
ENSG00000005436.L04	0.441159115687252	NA
ENSG00000005436.L05	0.23100968158523	NA
ENSG00000005448.L01	-0.749036805779997	NA
ENSG00000005469.L01	-1.04466596123002	NA
ENSG00000005483.L01	-0.024697530623622	0.999917617278247
ENSG00000005486.L01	0.776319933845361	0.999917617278247
ENSG00000005700.L01	0.109865312325705	NA
ENSG00000005801.L01	-0.610285015007634	NA
ENSG00000005810.L01	0.236010911630141	0.999917617278247
ENSG00000005812.L02	-0.0278151097018	NA
ENSG00000005844.L01	-1.4313194412392	0.000511125347427
ENSG00000005882.L01	-0.168368635594739	NA
ENSG00000005884.L01	1.99587389749519	NA
ENSG00000005889.L01	-0.173128964206496	NA
ENSG00000005893.L01	-0.429701029402709	NA
ENSG00000005955.L01	-0.005026815898421	0.999917617278247
ENSG00000006007.L01	-1.10816408636061	NA
ENSG00000006015.L01	0.376257016499955	0.999917617278247
ENSG00000006016.L01	1.04447741564886	NA
ENSG00000006025.L01	-1.52306721881333	0.999917617278247
ENSG00000006062.L01	0.043317929836317	NA
ENSG00000006062.L02	-0.092887458671054	NA
ENSG00000006075	4.32567246000392	9.91618829326084E-11
ENSG00000006114.L01	0.638540695656975	0.999917617278247
ENSG00000006125.L01	-0.386698596813734	0.999917617278247
ENSG00000006194.L01	0.842537719929653	0.999917617278247
ENSG00000006432.L01	-0.751129457098667	NA
ENSG00000006451.L01	0.984832294487833	NA
ENSG00000006459.L01	-0.093861483147545	0.999917617278247
ENSG00000006530.L01	-0.293954928780356	NA
ENSG00000006555.L01	-1.6898620850165	NA
ENSG00000006576.L01	0.292752066130284	NA
ENSG00000006607.L01	-0.415477778761525	NA
ENSG00000006634.L01	-0.008252927687267	NA
ENSG00000006695.L01	1.24713704346919	NA
ENSG00000006712.L01	1.97904334337755	0.705462149035684
ENSG00000006715.L01	-0.365953887535498	NA
ENSG00000006744.L01	-0.447458568816376	0.999917617278247
ENSG00000006756.L01	-0.666911527592359	NA
ENSG00000006831.L01	-1.65144942538698	0.999917617278247
ENSG00000007038.L01	1.05131600643409	NA
ENSG00000007080	-0.080201962086904	NA
ENSG00000007080.L01	0.035630723792246	NA
ENSG00000007129.L01	-0.351546486132545	0.999917617278247
ENSG00000007168.L01	-0.126130986092394	0.999917617278247
ENSG00000007202.L01	-0.14463475736072	NA
ENSG00000007237.L01	-2.2257228753205	NA
ENSG00000007255	0.42456761800408	0.999917617278247
ENSG00000007264.L01	-1.00847666457838	0.99950798722154
ENSG00000007312.L01	1.60137907261935	NA
ENSG00000007341.L01	0.913227904044287	NA
ENSG00000007350.L01	0.085057545202695	NA
ENSG00000007376.L01	-0.803678777519678	NA
ENSG00000007392.L01	0.569182254829623	0.999917617278247
ENSG00000007402.L01	0.533762106317456	NA
ENSG00000007402.L02	-3.16913845392216	NA
ENSG00000007516.L01	-0.562200163171134	NA
ENSG00000007520.L01	-0.387416128198204	NA
ENSG00000007923.L01	0.270179289273982	NA
ENSG00000007944.L01	1.69634761839761	0.171728082389698
ENSG00000008018	-0.079112594608272	0.999917617278247
ENSG00000008083.L01	-0.607639892881328	NA
ENSG00000008130.L01	-0.22263645839876	0.999917617278247
ENSG00000008226.L01	-0.339140190329187	NA
ENSG00000008256.L01	0.496416015505084	NA
ENSG00000008277.L01	-0.915533267552363	NA
ENSG00000008282.L01	1.40089904634285	NA
ENSG00000008283.L01	0.211512395112665	NA
ENSG00000008294.L01	-0.846362898608512	0.999917617278247
ENSG00000008300.L01	-0.326194380965055	NA
ENSG00000008311.L01	0.474707871689062	NA
ENSG00000008324	0.426402455143555	NA
ENSG00000008382.L01	-0.16614499130737	NA
ENSG00000008405.L01	-0.784283674337182	NA
ENSG00000008513.L01	1.00973215490501	0.999917617278247
ENSG00000008516.L01	1.66083739575212	NA
ENSG00000008516.L02	-0.003700004733651	NA
ENSG00000008517.L01	-0.499738884852168	0.981274215788451
ENSG00000008517.L02	4.56366076620347	NA
ENSG00000008710.L01	-0.223377193430118	0.999917617278247
ENSG00000008838.L01	-0.217829178843745	0.999917617278247
ENSG00000008853.L01	-0.751107456569983	NA
ENSG00000008869.L01	-0.418394028562781	NA
ENSG00000008952.L01	0.025751136719704	0.999917617278247
ENSG00000008988.L01	0.676417598021323	0.52401537640905
ENSG00000009335.L01	0.120333814438881	0.999917617278247
ENSG00000009413.L01	-0.218550629076865	NA
ENSG00000009694	-0.886682452139422	NA
ENSG00000009694.L01	-0.088560109788654	NA
ENSG00000009694.L02	-1.33383271235041	NA
ENSG00000009694.L03	-1.2376679427274	NA
ENSG00000009694.L04	-1.11861045978558	NA
ENSG00000009694.L10	-1.50354495438592	NA
ENSG00000009694.L13	-1.35546839555157	NA
ENSG00000009724.L01	-1.70899923536189	NA
ENSG00000009724.L02	-1.33611526305109	NA
ENSG00000009780.L01	-0.59910519312091	NA
ENSG00000009790.L01	-0.649280625578448	0.999917617278247
ENSG00000009830.L01	0.153012315645476	NA
ENSG00000009844.L01	-0.198559473013919	NA
ENSG00000009954.L01	0.224072076866008	NA
ENSG00000010017.L01	-0.052976439040486	0.999917617278247
ENSG00000010072.L01	-0.973777350652282	NA
ENSG00000010165.L01	0.494655791324576	NA
ENSG00000010256.L01	-0.10265660686462	0.999917617278247
ENSG00000010270.L01	0.334775587172023	NA
ENSG00000010278.L01	3.13530191851563	NA
ENSG00000010292.L01	0.005482462703445	NA
ENSG00000010295.L01	-0.346638020433932	0.999917617278247
ENSG00000010310.L01	-0.405912515601067	NA
ENSG00000010318.L01	-1.14649244865732	NA
ENSG00000010322.L01	-0.337769570080091	0.999917617278247
ENSG00000010361.L01	0.056248528126639	NA
ENSG00000010539.L01	1.36599173869806	NA
ENSG00000010704.L01	0.246472434251406	NA
ENSG00000010803.L01	0.611464004371013	NA
ENSG00000010810.L01	-0.419112370502434	0.999917617278247
ENSG00000010818.L01	1.934218208627	NA
ENSG00000011007.L01	-0.370682445665695	NA
ENSG00000011009.L01	-0.453658622092149	0.999917617278247
ENSG00000011021.L01	-0.334870196387072	NA
ENSG00000011114.L01	-0.334870196387072	NA
ENSG00000011132.L01	0.089013745138679	0.999917617278247
ENSG00000011143.L01	1.05248949753791	NA
ENSG00000011198.L01	-0.194000555378355	NA
ENSG00000011243.L01	-0.064795185935457	0.999917617278247
ENSG00000011243.L02	0.13174542542541	0.999917617278247
ENSG00000011258.L01	-0.038773536315077	NA
ENSG00000011260.L01	0.248085124310348	NA
ENSG00000011275.L01	0.083978571711303	0.999917617278247
ENSG00000011295.L01	0.509662557781689	0.999917617278247
ENSG00000011304.L01	0.562998395824208	0.999917617278247
ENSG00000011376.L01	0.068133932413958	NA
ENSG00000011422.L01	2.36632622870225	NA
ENSG00000011451.L01	-0.070917081348706	NA
ENSG00000011478.L01	-0.166157943521842	NA
ENSG00000011485.L01	-0.152235253535666	0.999917617278247
ENSG00000011523.L01	0.383970467305911	NA
ENSG00000011566.L01	-0.570197616676937	NA
ENSG00000011566.L02	-0.992740317028652	NA
ENSG00000011590.L01	0.474707871689062	NA
ENSG00000011600.L01	1.73533950286189	0.999917617278247
ENSG00000011638.L01	-0.556498925410596	NA
