	log2FoldChange	fdr
ENSG00000000419.L01	0.111061069495813	NA
ENSG00000000457.L01	0.185626588928143	NA
ENSG00000000460.L01	0.776044777889453	NA
ENSG00000000460.L02	4.67317411676661	NA
ENSG00000000938.L01	-2.9265109984673	0.000422101154698
ENSG00000000971.L01	-0.353079086992845	NA
ENSG00000001036.L01	-1.21519211647349	NA
ENSG00000001167.L01	0.948907248955478	NA
ENSG00000001461.L01	0.531598718255314	NA
ENSG00000001497.L01	0.413576566463288	NA
ENSG00000001561	-2.6330012798385	NA
ENSG00000001561.L01	-2.53728191927338	NA
ENSG00000001629.L01	-0.027169737009551	NA
ENSG00000002330.L01	-1.08031894531774	NA
ENSG00000002549.L01	0.413678821039579	NA
ENSG00000002586.L01	-1.01275053941345	0.321082607848104
ENSG00000002822.L01	-0.688093402319651	NA
ENSG00000002834.L01	-0.917402843862782	0.998887774602278
ENSG00000002919.L01	-0.461844556589292	NA
ENSG00000003056.L01	-0.523265291602655	0.998887774602278
ENSG00000003147.L01	-2.9309377497678	NA
ENSG00000003393.L01	-0.33253893381834	NA
ENSG00000003400.L01	0.846716898550572	NA
ENSG00000003402.L01	-0.412181543567425	0.998887774602278
ENSG00000003509.L01	-0.249947201734843	NA
ENSG00000004142	-0.396955257043774	NA
ENSG00000004399.L01	3.08676131458182	NA
ENSG00000004455.L01	0.061482289940535	NA
ENSG00000004468.L01	-0.359321376460915	NA
ENSG00000004478.L01	1.5298146151808	NA
ENSG00000004487.L01	0.132889370245125	NA
ENSG00000004660.L01	0.360786054151591	NA
ENSG00000004700.L01	-0.682732236063724	NA
ENSG00000004766.L01	-0.211543685191184	NA
ENSG00000004777.L01	-0.449934912207111	NA
ENSG00000004779.L01	-0.59178340746489	NA
ENSG00000004864.L01	0.393129560705714	NA
ENSG00000004897.L01	-0.278974477302695	NA
ENSG00000004961.L01	-0.409788766383421	NA
ENSG00000004975.L01	-0.226052357214966	NA
ENSG00000005007.L01	0.477353237451822	NA
ENSG00000005020.L01	-1.61553784793507	NA
ENSG00000005022.L01	0.375951395473766	0.998887774602278
ENSG00000005059.L01	0.553264046937499	0.998887774602278
ENSG00000005075	-0.821507988780299	NA
ENSG00000005175.L01	-0.105130648134734	NA
ENSG00000005187.L01	1.00722943797677	NA
ENSG00000005194.L01	0.526064812689698	NA
ENSG00000005206.L01	0.803099630804459	NA
ENSG00000005238.L01	-1.90336941454675	NA
ENSG00000005243.L01	-2.17815738753374	NA
ENSG00000005302.L01	1.55654940022163	0.504376015033942
ENSG00000005339.L01	-0.146366118673644	0.998887774602278
ENSG00000005379.L01	-1.51202488523654	0.2541624272892
ENSG00000005436.L04	0.006107621692264	NA
ENSG00000005436.L05	0.114996634116735	NA
ENSG00000005448.L01	-0.554819736641951	NA
ENSG00000005469.L01	-0.091643952964256	NA
ENSG00000005483.L01	0.28041293051516	0.998887774602278
ENSG00000005486.L01	0.900618792029271	0.998887774602278
ENSG00000005700.L01	-0.004005035865936	NA
ENSG00000005801.L01	-0.200618740616115	NA
ENSG00000005810.L01	0.450111188969153	NA
ENSG00000005812.L02	0.092952959779253	NA
ENSG00000005844.L01	-0.978140901595383	0.121873534133092
ENSG00000005882.L01	-0.847190977838554	NA
ENSG00000005884.L01	1.88184396636508	NA
ENSG00000005889.L01	0.094728152950408	NA
ENSG00000005893.L01	-0.666930948189353	NA
ENSG00000005955.L01	0.214831038296692	0.998887774602278
ENSG00000006007.L01	-1.02133084773798	NA
ENSG00000006015.L01	-0.333258122754502	0.998887774602278
ENSG00000006016.L01	0.667539904582584	NA
ENSG00000006025.L01	-0.644000758613881	NA
ENSG00000006062.L01	0.154471639238623	NA
ENSG00000006062.L02	0.038849152530189	NA
ENSG00000006075	1.19272854102003	0.2541624272892
ENSG00000006114.L01	0.282623278820837	0.998887774602278
ENSG00000006125.L01	-0.73318139770281	0.998887774602278
ENSG00000006194.L01	0.262992483128901	NA
ENSG00000006327.L01	-0.444491814359138	NA
ENSG00000006432.L01	0.135003205533799	NA
ENSG00000006451.L01	0.925931303825901	NA
ENSG00000006459.L01	0.804919817298368	NA
ENSG00000006530.L01	-0.085791272737894	NA
ENSG00000006555.L01	-1.86499427007569	NA
ENSG00000006576.L01	0.830943189829166	NA
ENSG00000006607.L01	0.055558465480746	NA
ENSG00000006634.L01	0.167313710203561	NA
ENSG00000006695.L01	0.091688533804547	NA
ENSG00000006712.L01	1.05167115665946	0.998887774602278
ENSG00000006715.L01	0.480700204183516	NA
ENSG00000006744.L01	0.23165335273102	NA
ENSG00000006756.L01	-1.08681942719015	NA
ENSG00000006756.L02	-1.10690454708913	NA
ENSG00000006831.L01	-1.15712638612215	NA
ENSG00000007038.L01	1.35055684125139	NA
ENSG00000007080	-0.653568885870121	NA
ENSG00000007080.L01	-0.580618494665863	NA
ENSG00000007129.L01	-0.754933968110087	0.998887774602278
ENSG00000007168.L01	0.472644084678554	0.998887774602278
