	tumor_infiltrating_patient001	tumor_infiltrating_patient002	tumor_infiltrating_patient003	peripheral_blood_patient001	peripheral_blood_patient002	peripheral_blood_patient003	peripheral_blood_healthy001	peripheral_blood_healthy002	peripheral_blood_healthy003
ADGRG1	24.3756	22.8977	27.2914	257.701	246.991	249.884	299.994	288.414	294.802
ARMH1	71.4686	67.912	72.9668	0.643264	0.643458	0.643935	4.30117	4.25555	3.97799
CCR7	153.72	154.864	229.187	0.375783	0.377665	0.379878	1.70604	1.7302	1.73231
CD28	74.7781	61.4665	89.8586	1.94751	1.84007	1.98011	1.82261	1.62706	1.85338
CD44	352.833	353.687	417.003	136.81	137.763	137.856	172.916	173.283	173.522
CD55	103.034	105.494	226.11	20.6155	21.2477	20.9661	30.0191	30.7563	31.1479
CLK1	525.768	499.925	596.353	287.283	280.676	279.695	206.888	189.481	184.899
CREM	197.132	200.407	193.494	29.5821	30.1109	30.2331	46.3786	47.051	47.1532
CSRNP1	299.2	299.181	406.548	77.7123	77.5596	78.0511	13.2899	13.2805	13.4294
CST7	256.838	258.874	199.049	861.067	869.617	875.576	620.696	625.096	632.794
CYTIP	337.769	342.888	299.272	140.497	143.494	144.386	132.495	134.8	135.596
DDX3X	399.422	398.832	641.671	163.2	165.003	166.032	129.499	129.625	130.047
DGKA	339.907	324.69	249.892	61.3003	60.7107	59.6776	142.948	137.178	135.12
EFHD2	50.3555	49.5357	61.7326	387.916	383.124	383.229	314.975	310.306	312.416
EGR1	149.008	149.012	110.01	27.4494	27.4778	27.579	6.29537	6.27764	6.335
FAM102A	140.878	142.753	127.125	20.8986	20.0043	20.1909	18.5552	18.3486	18.6408
FOSB	1988.18	1983.78	1883.3	768.122	767.712	767.091	82.921	85.8131	86.3008
FTH1	1541.67	1511.38	1853.13	634.795	627.231	640.139	538.838	537.639	542.575
GPR183	120.331	122.953	73.3644	7.62918	7.84697	7.91288	2.42893	2.4916	2.50364
GZMB	60.1097	60.1007	92.8926	479.011	481.282	485.271	326.189	327.864	331.295
GZMH	97.93	98.7166	161.908	865.641	871.069	878.068	947.147	953.364	961.617
HSPA5	477.938	489.257	504.729	221.947	226.13	226.519	142.8	147.95	146.506
