	pTemra_001	pTemra_002	pTemra_003	pTemra_004	pTemra_005	pTemra_006
ENSG00000000003.L01	0	0	0	0.158257	0.162149	0.162136
ENSG00000000005.L01	0	0	0	0	0	0
ENSG00000000419.L01	19.438	19.8734	19.9445	25.4387	25.8989	25.938
ENSG00000000457.L01	8.92997	9.11218	9.2095	8.8976	8.96722	9.0385
ENSG00000000460.L01	2.6683	2.73407	3.0056	3.22481	3.33143	3.85885
ENSG00000000460.L02	0	0	0	0	5.16864	0
ENSG00000000938.L01	197.909	205.277	206.007	110.799	114.129	122.555
ENSG00000000971.L01	2.34211	2.40265	2.77086	0.678057	0.695126	0.693779
ENSG00000001036.L01	9.44483	9.58987	9.35999	4.635	4.93518	4.67989
ENSG00000001167.L01	13.4211	0	13.9077	14.7034	0	15.4513
ENSG00000001460.L01	1.4918	1.51213	1.51638	1.8253	1.84489	1.85448
ENSG00000001461.L01	14.2028	14.8509	14.9628	26.7496	27.8703	28.1024
ENSG00000001497.L01	14.2018	14.1046	13.9629	21.4543	21.2178	21.1545
ENSG00000001561	0	0	20.8434	0	0	20.5533
ENSG00000001561.L01	20.0439	23.8094	0	19.9446	24.7248	0
ENSG00000001617.L01	0	0	0	0.11088	0.10798	0.107233
ENSG00000001626.L01	0	0	0	0	0	0
ENSG00000001629.L01	22.0753	21.9415	22.1572	24.3963	23.9455	23.991
ENSG00000002079.L01	0	0	0	0	0	0
ENSG00000002330.L01	17.0619	16.9087	16.8935	13.2213	13.1422	13.1903
ENSG00000002549.L01	23.3562	26.092	26.297	18.7852	19.7774	19.9709
ENSG00000002586.L01	262.626	260.314	260.213	303.028	297.356	297.979
ENSG00000002587.L01	0.0092654	0.00941848	0.00949759	0	0	0
ENSG00000002726.L01	0	0	0	0	0	0
ENSG00000002745.L01	0.027014	0.0275303	0.0277188	0.132333	0.134445	0.134808
ENSG00000002746.L01	0	0	0	0	0	0
ENSG00000002822.L01	46.475	46.2628	46.3097	23.5278	22.7908	23.1208
ENSG00000002834.L01	86.2059	86.3489	86.7522	85.5942	85.639	86.349
ENSG00000002919.L01	17.4842	17.6555	17.7506	19.0981	19.2709	19.4572
ENSG00000002933.L01	0	0	0	0.0484894	0.0484	0.0489552
ENSG00000003056.L01	112.736	108.773	114.454	96.9364	92.6498	99.3811
ENSG00000003096.L01	0.114618	0.116984	0.117886	0	0	0
ENSG00000003137.L01	0	0	0	0	0	0
ENSG00000003147.L01	2.93232	2.91719	2.90764	0.548906	0.556372	0.562183
ENSG00000003249.L01	0.267921	0.267581	0.268577	0.0795249	0.0794158	0.0803338
ENSG00000003393.L01	5.6289	5.70948	5.74552	5.06195	5.14568	5.15257
ENSG00000003400.L01	11.2825	6.5827	6.60261	11.0131	3.8634	3.69089
ENSG00000003402.L01	127.932	124.65	124.993	138.352	136.191	136.637
ENSG00000003436.L01	0.0240898	0.0247463	0.0249261	0.0492439	0.0503301	0.0506421
ENSG00000003509.L01	15.5142	15.7647	15.4604	17.4275	17.7318	17.9094
ENSG00000003987.L01	1.02056	1.2137	1.16055	1.10313	2.37293	2.21145
ENSG00000003987.L02	0	0.906415	1.05329	0	1.0894	1.12835
ENSG00000003989.L01	0	0	0	0	0	0
ENSG00000004142	25.7572	25.8399	25.9876	24.4704	24.5314	24.7599
ENSG00000004399.L01	4.33015	4.34192	5.0965	79.3649	81.1762	96.7678
ENSG00000004455.L01	34.2971	34.4726	34.7682	31.1246	31.472	31.6547
ENSG00000004468.L01	19.5251	19.5126	19.3223	5.07255	5.17088	5.17955
ENSG00000004478.L01	14.8103	13.2226	15.3281	12.0821	10.5278	12.2347
ENSG00000004487.L01	21.3053	21.7247	21.9004	30.9704	31.2976	31.583
ENSG00000004660.L01	1.67845	1.67679	1.56937	0.894584	0.895034	0.79455
ENSG00000004700.L01	31.2687	31.6694	31.8078	32.1656	32.5852	32.4558
ENSG00000004766.L01	11.5955	11.9857	12.5287	10.7958	10.9908	10.8593
ENSG00000004776	0	0	0	0	0	0
ENSG00000004777.L01	11.6493	11.552	11.5208	11.8819	11.7798	11.8397
ENSG00000004779.L01	34.3936	34.5505	34.8799	24.0744	24.1472	24.444
ENSG00000004799.L01	0	0	0	0	0	0
ENSG00000004809.L01	0	0	0	0	0	0
ENSG00000004838.L01	1.90034	1.81105	1.91507	1.59009	1.59323	1.61969
ENSG00000004846.L01	0	0	0	0	0	0
ENSG00000004848	0	0	0	0	0	0
ENSG00000004864.L01	3.57372	3.42528	3.43067	5.75489	6.12584	6.17145
ENSG00000004897.L01	18.1066	18.7632	18.6133	28.0046	28.5507	29.4671
ENSG00000004948.L01	0	0	0	0	0	0
ENSG00000004961.L01	6.2176	6.29273	6.51113	7.0639	7.15712	7.29585
ENSG00000004975.L01	21.1552	21.0992	21.2305	20.6554	19.7495	19.9762
ENSG00000005001.L01	0.162271	0.160692	0.161292	0.223153	0.220961	0.22325
ENSG00000005007.L01	28.1977	28.7096	28.8861	44.9227	45.4297	46.0872
ENSG00000005020.L01	31.1257	31.487	31.6657	11.824	11.567	11.534
ENSG00000005022.L01	130.42	131.073	130.905	100.92	101.43	101.188
ENSG00000005059.L01	30.896	31.6231	31.1586	28.4129	29.0035	28.9935
ENSG00000005073	0	0	0	0	0	0
ENSG00000005075	42.4351	42.3492	42.3773	31.3263	31.2609	31.3367
ENSG00000005102.L01	0.0418407	0.044444	0.0516686	0.0437932	0.0466591	0.1005
ENSG00000005102.L02	0.0512692	0.0512616	0	0.0927488	0.093466	0
ENSG00000005108.L01	0	0	0	0	0	0
ENSG00000005175.L01	10.4909	11.6844	10.788	8.6278	11.0256	8.79039
ENSG00000005187.L01	2.24217	2.32031	2.3131	1.32944	1.35426	1.36607
ENSG00000005189.L01	0.708471	0.725298	0.726053	0.526115	0.533055	0.534161
ENSG00000005194.L01	18.9833	19.214	19.417	34.9088	35.4812	35.7117
