	tumor_infiltrating_patient001	tumor_infiltrating_patient002	tumor_infiltrating_patient003	peripheral_blood_patient001	peripheral_blood_patient002	peripheral_blood_patient003	peripheral_blood_healthy001	peripheral_blood_healthy002	peripheral_blood_healthy003
ACTG1	887.112	885.142	989.597	845.143	837.244	833.62	548.317	544.18	543.478
ACTN1	65.175	63.8375	59.4944	0.914152	0.918204	0.977006	0.994362	0.98323	0.988528
ADGRE5	343.596	375.787	590.028	172.215	197.972	198.554	275.682	321.091	324.007
ADGRG1	24.3756	22.8977	27.2914	257.701	246.991	249.884	299.994	288.414	294.802
AHNAK	68.0554	68.57	94.8197	271.916	273.021	268.279	257.439	259.353	254.019
ANXA1	459.902	467.184	485.43	276.282	281.448	297.912	238.231	242.571	247.997
ANXA6	103.552	104.27	91.5278	295.25	295.669	297.825	219.303	220.238	222.432
APMAP	60.851	61.2069	67.8844	249.389	250.63	251.72	142.627	143.498	144.37
ARL4A	66.1984	67.1172	58.2286	26.9993	27.5754	27.6623	1.95829	2.00111	1.99094
ARMH1	71.4686	67.912	72.9668	0.643264	0.643458	0.643935	4.30117	4.25555	3.97799
ARRDC2	162.664	161.483	189.043	59.4338	59.5463	59.3009	60.3786	60.1155	60.3423
ATF3	44.2084	43.5313	90.3078	49.0314	46.2059	49.8726	0.702276	0.706839	0.71245
ATF4	493.047	496.419	433.346	284.34	286.788	288.4	199.273	200.704	202.267
BTG2	680.932	685.011	427.161	399.925	402.733	405.03	89.7235	90.3217	91.0393
C12orf75	21.721	22.0534	26.125	147.584	150.887	151.79	125.659	128.1	128.374
CASP8	71.8333	71.8308	82.1159	114.643	116.129	117.462	287.556	287.656	291.052
CCNL1	545.116	570.805	717.611	353.255	372.149	348.408	282.561	293.251	279.65
CCR7	153.72	154.864	229.187	0.375783	0.377665	0.379878	1.70604	1.7302	1.73231
CD28	74.7781	61.4665	89.8586	1.94751	1.84007	1.98011	1.82261	1.62706	1.85338
CD44	352.833	353.687	417.003	136.81	137.763	137.856	172.916	173.283	173.522
CD55	103.034	105.494	226.11	20.6155	21.2477	20.9661	30.0191	30.7563	31.1479
CD6	231.436	232.255	313.367	100.24	100.95	104.809	245.853	247.198	267.137
CD63	60.6197	63.4025	74.3042	234.417	252.724	253.415	129.486	139.404	139.634
CD69	1039.01	1059.44	768.536	518.231	531.562	535.403	111.87	114.579	114.869
CD7	381.368	379.495	302.112	325.233	322.134	322.579	190.644	189.094	191.198
CD83	73.7544	73.8506	74.6889	12.6112	12.705	12.6721	4.41802	4.47187	4.46084
CLK1	525.768	499.925	596.353	287.283	280.676	279.695	206.888	189.481	184.899
CMC1	82.738	84.3807	66.7964	353.77	362.699	362.591	211.696	216.55	215.9
CREM	197.132	200.407	193.494	29.5821	30.1109	30.2331	46.3786	47.051	47.1532
CSRNP1	299.2	299.181	406.548	77.7123	77.5596	78.0511	13.2899	13.2805	13.4294
CST7	256.838	258.874	199.049	861.067	869.617	875.576	620.696	625.096	632.794
CTSW	305.509	306.76	184.551	391.011	391.253	394.107	672.665	674.59	680.863
CYBA	370.742	366.362	261.586	781.072	769.278	772.035	779.147	770.978	789.321
CYCS	131.166	114.276	123.188	86.3242	76.0335	75.9269	28.1196	24.339	24.2852
CYTIP	337.769	342.888	299.272	140.497	143.494	144.386	132.495	134.8	135.596
