EntrzID	Name	tilTemra_001	tilTemra_002	tilTemra_003	pTemra_001	pTemra_002	pTemra_003	pTemra_004	pTemra_005	pTemra_006
ENSG00000000003	ENSG00000000003	0.385797	0.393162	0.589978	0	0	0	0.158257	0.162149	0.162136
ENSG00000000005	ENSG00000000005	0	0	0	0	0	0	0	0	0
ENSG00000000419	ENSG00000000419	18.8343	19.1103	19.8352	19.438	19.8734	19.9445	25.4387	25.8989	25.938
ENSG00000000457	ENSG00000000457	9.78835	9.80847	8.46715	8.92997	9.11218	9.2095	8.8976	8.96722	9.0385
ENSG00000000460	ENSG00000000460	4.23051	4.31285	6.00246	2.6683	2.73407	3.0056	3.22481	3.33143	3.85885
ENSG00000000460	ENSG00000000460	0	13.0898	0	0	0	0	0	5.16864	0
ENSG00000000938	ENSG00000000938	25.4463	25.828	21.7239	197.909	205.277	206.007	110.799	114.129	122.555
ENSG00000000971	ENSG00000000971	1.70321	1.73454	1.37058	2.34211	2.40265	2.77086	0.678057	0.695126	0.693779
ENSG00000001036	ENSG00000001036	4.00992	3.93233	3.49462	9.44483	9.58987	9.35999	4.635	4.93518	4.67989
ENSG00000001167	ENSG00000001167	19.3297	0	27.7577	13.4211	0	13.9077	14.7034	0	15.4513
ENSG00000001460	ENSG00000001460	1.41233	1.42396	2.07392	1.4918	1.51213	1.51638	1.8253	1.84489	1.85448
ENSG00000001461	ENSG00000001461	21.2051	21.4485	15.6463	14.2028	14.8509	14.9628	26.7496	27.8703	28.1024
ENSG00000001497	ENSG00000001497	18.2477	18.0381	14.9328	14.2018	14.1046	13.9629	21.4543	21.2178	21.1545
ENSG00000001561	ENSG00000001561	0	0	3.23588	0	0	20.8434	0	0	20.5533
ENSG00000001561	ENSG00000001561	3.45733	4.4985	0	20.0439	23.8094	0	19.9446	24.7248	0
ENSG00000001617	ENSG00000001617	0.0192749	0.0192492	0.179207	0	0	0	0.11088	0.10798	0.107233
ENSG00000001626	ENSG00000001626	0	0	0.0288674	0	0	0	0	0	0
ENSG00000001629	ENSG00000001629	20.2931	20.3016	18.7587	22.0753	21.9415	22.1572	24.3963	23.9455	23.991
ENSG00000002079	ENSG00000002079	0	0	0	0	0	0	0	0	0
