"","pTemra_001","pTemra_002","pTemra_003","pTemra_004","pTemra_005","pTemra_006"
"ENSG00000000419.L01",19.5591414696034,20.2872593821166,20.1215936144089,24.8675807829611,25.4277553035471,25.2932532449261
"ENSG00000000457.L01",9.26485648560161,9.12926672195247,9.05471712648401,8.95232908186599,8.80191529738169,8.75535689247443
"ENSG00000000460.L01",3.08828549520054,3.04308890731749,3.01823904216134,2.98410969395533,2.9339717657939,3.89126972998863
"ENSG00000000938.L01",203.826842683235,207.944408666695,207.252414228412,110.412058676347,111.490927100168,119.656544197151
"ENSG00000000971.L01",2.05885699680036,2.02872593821166,3.01823904216134,0.994703231318443,0.977990588597965,0.972817432497159
"ENSG00000001036.L01",9.26485648560161,10.1436296910583,9.05471712648401,4.97351615659221,4.88995294298983,4.86408716248579
"ENSG00000001167.L01",13.3825704792023,0,14.0851155300862,14.9205484697766,0,14.5922614874574
"ENSG00000001460.L01",1.02942849840018,2.02872593821166,2.01215936144089,1.98940646263689,1.95598117719593,1.94563486499432
"ENSG00000001461.L01",14.4119989776025,15.2154445365874,15.0911952108067,26.856987245598,27.383736480743,27.2388881099204
"ENSG00000001497.L01",14.4119989776025,14.2010815674816,14.0851155300862,20.8887678576873,20.5378023605573,20.4291660824403
"ENSG00000001561",0,0,21.1276732951294,0,0,20.4291660824403
"ENSG00000001561.L01",20.5885699680036,24.3447112585399,0,19.8940646263689,24.4497647149491,0
"ENSG00000001629.L01",22.6474269648039,22.3159853203282,22.1337529758498,23.8728775516426,23.4717741263512,23.3476183799318
"ENSG00000002330.L01",17.500284472803,17.2441704747991,17.1033545722476,12.9311420071398,12.7138776517735,12.6466266224631
"ENSG00000002549.L01",23.6768554632041,26.3734371967516,26.1580716987316,18.8993613950504,19.5598117719593,19.4563486499432
"ENSG00000002586.L01",270.739695079247,263.734371967516,261.580716987316,301.395079089488,290.463204813596,289.899594884153
"ENSG00000002822.L01",47.3537109264082,46.6606965788682,46.2796653131405,23.8728775516426,22.4937835377532,22.3748009474347
"ENSG00000002834.L01",88.5308508624154,87.2352153431013,87.5289322226788,85.5444778933861,84.107190619425,83.6622991947556
"ENSG00000002919.L01",17.500284472803,18.2585334439049,18.109434252968,18.8993613950504,18.5818211833613,18.483531217446
"ENSG00000003056.L01",116.32542031922,110.565563632535,114.693083602131,96.486213437889,90.9531247396108,96.3089258172187
"ENSG00000003147.L01",3.08828549520054,3.04308890731749,3.01823904216134,0.994703231318443,0.977990588597965,0.972817432497159
"ENSG00000003393.L01",6.17657099040107,6.08617781463498,6.03647808432267,4.97351615659221,4.88995294298983,4.86408716248579
"ENSG00000003400.L01",11.323713482402,7.10054078374081,7.04255776504312,10.9417355445029,3.91196235439186,3.89126972998863
"ENSG00000003402.L01",131.766847795223,126.795371138229,125.759960090056,137.269045921945,133.006720049323,133.275988252111
"ENSG00000003509.L01",16.4708559744029,16.2298075056933,15.0911952108067,16.9099549324135,17.6038305947634,17.5107137849489
"ENSG00000004142",26.7651409584046,26.3734371967516,26.1580716987316,23.8728775516426,24.4497647149491,24.320435812429
"ENSG00000004399.L01",4.11771399360071,4.05745187642332,5.03039840360223,78.581555274157,79.2172376764352,94.3632909522244
"ENSG00000004455.L01",35.0005689456061,34.4883409495982,35.2127888252156,30.8358001708717,30.3177082465369,31.1301578399091
"ENSG00000004468.L01",20.5885699680036,20.2872593821166,19.1155139336885,4.97351615659221,4.88995294298983,4.86408716248579
"ENSG00000004478.L01",15.4414274760027,13.1867185983758,15.0911952108067,11.9364387758213,10.7578964745776,11.6738091899659
"ENSG00000004487.L01",21.6179984664038,22.3159853203282,22.1337529758498,30.8358001708717,30.3177082465369,31.1301578399091
"ENSG00000004700.L01",31.9122834504055,32.4596150113865,32.1945497830543,31.8305034021902,32.2736894237329,31.1301578399091
"ENSG00000004766.L01",12.3531419808021,12.17235562927,13.0790358493658,10.9417355445029,10.7578964745776,10.7009917574687
"ENSG00000004777.L01",12.3531419808021,12.17235562927,12.0729561686453,11.9364387758213,11.7358870631756,11.6738091899659
"ENSG00000004779.L01",35.0005689456061,35.502703918704,35.2127888252156,23.8728775516426,23.4717741263512,23.3476183799318
"ENSG00000004838.L01",2.05885699680036,2.02872593821166,2.01215936144089,1.98940646263689,1.95598117719593,1.94563486499432
"ENSG00000004864.L01",4.11771399360071,3.04308890731749,3.01823904216134,5.96821938791066,5.86794353158779,5.83690459498295
"ENSG00000004897.L01",18.5297129712032,19.2728964130108,19.1155139336885,27.8516904769164,28.361727069341,28.2117055424176
"ENSG00000004961.L01",6.17657099040107,6.08617781463498,7.04255776504312,6.9629226192291,6.84593412018576,6.80972202748011
"ENSG00000004975.L01",21.6179984664038,21.3016223512224,21.1276732951294,20.8887678576873,19.5598117719593,19.4563486499432
