	tilTemra_001	tilTemra_002	tilTemra_003	pTemra_001	pTemra_002	pTemra_003
ENSG00000000003.L01	0.385797	0.393162	0.589978	0	0	0
ENSG00000000005.L01	0	0	0	0	0	0
ENSG00000000419.L01	18.8343	19.1103	19.8352	19.438	19.8734	19.9445
ENSG00000000457.L01	9.78835	9.80847	8.46715	8.92997	9.11218	9.2095
ENSG00000000460.L01	4.23051	4.31285	6.00246	2.6683	2.73407	3.0056
ENSG00000000460.L02	0	13.0898	0	0	0	0
ENSG00000000938.L01	25.4463	25.828	21.7239	197.909	205.277	206.007
ENSG00000000971.L01	1.70321	1.73454	1.37058	2.34211	2.40265	2.77086
ENSG00000001036.L01	4.00992	3.93233	3.49462	9.44483	9.58987	9.35999
ENSG00000001167.L01	19.3297	0	27.7577	13.4211	0	13.9077
ENSG00000001460.L01	1.41233	1.42396	2.07392	1.4918	1.51213	1.51638
ENSG00000001461.L01	21.2051	21.4485	15.6463	14.2028	14.8509	14.9628
ENSG00000001497.L01	18.2477	18.0381	14.9328	14.2018	14.1046	13.9629
ENSG00000001561	0	0	3.23588	0	0	20.8434
ENSG00000001561.L01	3.45733	4.4985	0	20.0439	23.8094	0
ENSG00000001617.L01	0.0192749	0.0192492	0.179207	0	0	0
ENSG00000001626.L01	0	0	0.0288674	0	0	0
ENSG00000001629.L01	20.2931	20.3016	18.7587	22.0753	21.9415	22.1572
ENSG00000002079.L01	0	0	0	0	0	0
ENSG00000002330.L01	8.1513	8.10146	5.72636	17.0619	16.9087	16.8935
ENSG00000002549.L01	29.2115	33.1563	29.2893	23.3562	26.092	26.297
ENSG00000002586.L01	130.655	128.266	95.4027	262.626	260.314	260.213
ENSG00000002587.L01	0	0	0.00895707	0.0092654	0.00941848	0.00949759
ENSG00000002726.L01	0	0	0.083749	0	0	0
ENSG00000002745.L01	0.0751407	0.0760946	0.0952369	0.027014	0.0275303	0.0277188
ENSG00000002746.L01	0	0	0.0117941	0	0	0
ENSG00000002822.L01	26.0541	25.5597	26.3084	46.475	46.2628	46.3097
ENSG00000002834.L01	44.1055	44.1414	36.5921	86.2059	86.3489	86.7522
ENSG00000002919.L01	10.7549	10.8586	12.9561	17.4842	17.6555	17.7506
ENSG00000002933.L01	0.137377	0.138767	0.595388	0	0	0
ENSG00000003056.L01	73.21	73.2873	66.7926	112.736	108.773	114.454
ENSG00000003096.L01	0.0895948	0.0910462	0.110451	0.114618	0.116984	0.117886
ENSG00000003137.L01	0.036961	0.0367554	0.0357629	0	0	0
ENSG00000003147.L01	0.399473	0.403079	0.964165	2.93232	2.91719	2.90764
ENSG00000003249.L01	1.05688	1.05584	0.698999	0.267921	0.267581	0.268577
ENSG00000003393.L01	3.71649	3.77367	4.92589	5.6289	5.70948	5.74552
ENSG00000003400.L01	12.632	13.9703	14.225	11.2825	6.5827	6.60261
ENSG00000003402.L01	93.1917	90.9561	75.2182	127.932	124.65	124.993
ENSG00000003436.L01	0.124853	0.138999	1.83348	0.0240898	0.0247463	0.0249261
ENSG00000003509.L01	11.6249	11.7913	12.0132	15.5142	15.7647	15.4604
ENSG00000003987.L01	0.575368	1.91799	2.6418	1.02056	1.2137	1.16055
ENSG00000003987.L02	0	0.566682	0.685863	0	0.906415	1.05329
ENSG00000003989.L01	0	0	0.0745538	0	0	0
ENSG00000004142	18.8047	18.8759	16.2454	25.7572	25.8399	25.9876
ENSG00000004399.L01	42.1146	43.0366	16.2603	4.33015	4.34192	5.0965
ENSG00000004455.L01	35.0979	35.3499	27.9702	34.2971	34.4726	34.7682
ENSG00000004468.L01	15.5348	15.6649	9.61327	19.5251	19.5126	19.3223
ENSG00000004478.L01	39.8959	33.7721	38.8325	14.8103	13.2226	15.3281
ENSG00000004487.L01	23.4492	23.7429	18.4606	21.3053	21.7247	21.9004
ENSG00000004660.L01	2.1075	2.11027	3.22511	1.67845	1.67679	1.56937
ENSG00000004700.L01	20.3672	20.4988	13.6029	31.2687	31.6694	31.8078
ENSG00000004766.L01	8.22726	8.44523	12.5661	11.5955	11.9857	12.5287
ENSG00000004776	0.0328229	0.0327257	0	0	0	0
ENSG00000004777.L01	8.20056	8.1379	7.51651	11.6493	11.552	11.5208
ENSG00000004779.L01	24.1804	24.2337	14.7959	34.3936	34.5505	34.8799
ENSG00000004799.L01	0.0201905	0.0205351	0.150897	0	0	0
ENSG00000004809.L01	0	0	0	0	0	0
ENSG00000004838.L01	0.534339	0.53651	0.47769	1.90034	1.81105	1.91507
ENSG00000004846.L01	0	0	0	0	0	0
ENSG00000004848	0	0	0.0368841	0	0	0
ENSG00000004864.L01	4.41918	4.52698	3.33978	3.57372	3.42528	3.43067
ENSG00000004897.L01	13.3061	13.6024	14.8088	18.1066	18.7632	18.6133
ENSG00000004948.L01	0	0	0	0	0	0
ENSG00000004961.L01	4.29744	4.3312	5.08598	6.2176	6.29273	6.51113
ENSG00000004975.L01	15.8647	15.1185	18.4148	21.1552	21.0992	21.2305
ENSG00000005001.L01	1.23124	1.22939	0.965645	0.162271	0.160692	0.161292
ENSG00000005007.L01	35.6241	36.3117	37.0478	28.1977	28.7096	28.8861
ENSG00000005020.L01	10.4447	10.5981	6.97899	31.1257	31.487	31.6657
