	Memory CD4+ T	Natural Killer	CD8+ T	Naive CD4+ T	B	Astrocyte	Dendritic Cell
CD8A	-0.480097310009141	-0.429273967722094	2.2103335234676	-0.53150295926005	0.117146680385191	-0.515422113794175	-0.37118385306733
CD8B	-0.441842231113465	-0.308873583849112	2.21126967890091	-0.387275703059283	0.064907861251249	-0.663246471064395	-0.474939551065908
CD38	-0.894763673750568	-1.04037990394232	1.88556144696902	-0.272074850608602	0.367444705640173	-0.44216528941077	0.396377565103067
CD69	0.04793016870398	0.1259121643564	1.8443697044942	-0.675405815715231	0.465191209623178	-1.27355654979713	-0.534440881665395
ENTPD1	0.002081023958096	-0.947295032373826	-0.042815337407142	-1.03495376049384	-0.269956327121433	0.331606749637853	1.96133268380029
GZMA	-0.366054125324255	-0.466623472130406	2.24755723797041	-0.522509906005399	-0.110617409896737	-0.445338134688765	-0.336414189924847
GZMH	-0.509779339475852	-0.507660604395224	2.22561300689208	-0.541619975307045	0.018918366629631	-0.35699791027855	-0.328473544065039
MYO1F	0.159106679154628	-0.556215252878343	1.5426557252389	-1.10776210472482	-0.286111353285467	-0.862166762680574	1.11049306917567
SYNE1	-0.490134578622196	-0.482327132353022	2.11698873885925	-0.605980230922141	0.28020932682589	-0.773093066773688	-0.04566305701409
TSC22D3	0.742382500970707	0.300644096880134	0.119130007094546	-0.53066274680937	1.17593510157059	-1.91526362708321	0.107834667376607
XCL2	-0.487602999231063	-0.493270448198801	2.23790700235484	-0.541499112863685	-0.161766975170965	-0.414689360515756	-0.139078106374566
