	Memory CD4+ T	Natural Killer T	CD8+ T	Naive CD4+ T	B	Astrocyte	Dendritic Cell
CD8A	-0.565116150960715	0.419072829112395	2.10066660097468	-0.615370522375906	-0.173932190278387	-0.629040415981456	-0.536280150490606
CD8B	-0.524739636866162	0.478395822905514	2.08250903616923	-0.518780190989905	-0.224084723173506	-0.687160469273778	-0.606139838771391
CD38	-1.13054396719427	0.434513578608725	1.80033780567034	-0.505933758786628	-0.153422879344616	-0.898254172691866	0.453303393738313
CD69	0.000121881352914	1.11445890955218	1.41884304239669	-0.526498580199649	0.151297525661856	-0.838475494827948	-1.31974728393605
ENTPD1	-0.442128848288246	0.485705587201956	-0.562536331925313	-1.28610595192765	-0.126732164463179	0.039585116484881	1.89221259291755
GZMA	-0.554110850170447	0.411140259352492	2.12028591049473	-0.614675645112465	-0.315825227800683	-0.561027327277092	-0.485787119486536
GZMH	-0.575985686392742	0.185356558215917	2.18040296231991	-0.596930266355924	-0.217103179289441	-0.49864449425922	-0.477095894238497
MYO1F	-0.365465118689305	0.600466841732502	1.51756093531333	-1.24297635891868	-0.380529156586145	-0.931927869819826	0.802870726968121
SYNE1	-0.488477782087575	0.700299278758735	1.96961040565119	-0.586167302227182	-0.167833968633985	-0.690630954327268	-0.736799677133913
TSC22D3	0.491317673129412	0.907730634215688	0.143360855682093	-0.330218902552122	1.28122307797984	-1.41245884491735	-1.08095449353757
XCL2	-0.705871947820782	1.39180765629165	1.50649843768953	-0.75355811453604	-0.361865852916383	-0.628800461318264	-0.448209717389713
