"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"RP11-34P13.7","OK",0.0132877336404913,2.21769746411153,0.00423858903642888,"RP11-34P13.7",0.0255834871657382
"FO538757.3","OK",0.129391630184155,1.12927164065623,0.00217192703133225,"FO538757.3",0.211891809312545
"FO538757.2","OK",8.3801007089388e-17,8.24324491474585,0.0163074893496321,"FO538757.2",3.2557607509598e-16
"AP006222.2","OK",0.640595480956465,-0.360050942425461,-0.000758464404072334,"AP006222.2",0.684641062755164
"RP4-669L17.10","OK",0.70193414550152,-0.529971474042027,-0.00107164399933,"RP4-669L17.10",0.730147194888575
"RP5-857K21.4","OK",0.697087002607624,-0.516040683683358,-0.00104249776546054,"RP5-857K21.4",0.726409166921313
"RP11-206L10.9","OK",0.502452313879641,-0.00614707802158877,-5.76796296650979e-05,"RP11-206L10.9",0.650888221397234
"LINC00115","OK",0.01722554196751,2.11475206942875,0.00414523555684328,"LINC00115",0.0326899781692674
"FAM41C","OK",0.842423022019274,-1.00446619826031,-0.00202759985361714,"FAM41C",0.849672528539016
"NOC2L","OK",1.34920302871424e-13,7.30864950278074,0.0144531755506553,"NOC2L",4.80561002399314e-13
"KLHL17","OK",0.880167190089076,-1.1758229840818,-0.00237103865047611,"KLHL17",0.884195957518132
"PLEKHN1","OK",0.00102153877292761,3.08389781782091,0.00605738995851475,"PLEKHN1",0.00223978128998604
"HES4","OK",1.72446551653349e-21,9.44814355794555,0.0186445957315208,"HES4",7.38265156877388e-21
"ISG15","OK",1.88101308257061e-307,37.4624831866613,0.0742770018864339,"ISG15",2.88611095726015e-306
"RP11-54O7.11","OK",0.713559727782255,-0.563814262253649,-0.00113433501483808,"RP11-54O7.11",0.738602120781133
"AGRN","OK",2.94864056381437e-281,35.8175072717648,0.0707468736641237,"AGRN",4.27514686927127e-280
"C1orf159","OK",0.0543531553947745,1.60403512325132,0.00313287217485299,"C1orf159",0.0953939425062659
"TNFRSF18","OK",0,100.153954772568,0.198632063845867,"TNFRSF18",0
"TNFRSF4","OK",0,94.4311350419118,0.187283808308218,"TNFRSF4",0
"SDF4","OK",2.66429680093148e-128,24.0686262672398,0.0477055929725135,"SDF4",2.5741453683924e-127
"B3GALT6","OK",0.253774515363499,0.66265891151111,0.00126799455758166,"B3GALT6",0.39079564565779
"FAM132A","OK",0.0387540893816127,1.76533084311334,0.00338758083915668,"FAM132A",0.0696043842182913
"RP5-902P8.12","OK",0.676045961793062,-0.45667025122381,-0.000926853985060905,"RP5-902P8.12",0.710748363344737
"UBE2J2","OK",1.04197791167123e-07,5.19168838528598,0.0102536629323843,"UBE2J2",2.99124359203285e-07
"SCNN1D","OK",0.394270396660707,0.268205952563018,0.000477095043125138,"SCNN1D",0.579599231655279
"ACAP3","OK",0.137639910840194,1.09098423024413,0.00211757785468129,"ACAP3",0.223961175549717
"PUSL1","OK",0.000419517940220258,3.33958527061165,0.00657594365121639,"PUSL1",0.000952853957971866
"CPSF3L","OK",3.39912939579128e-21,9.37683528864686,0.0185564531521147,"CPSF3L",1.44553401698677e-20
"CPTP","OK",0.250850843533837,0.671814671986716,0.00128685663872863,"CPTP",0.386852230872724
"TAS1R3","OK",1.9475868843776e-05,4.11361113824541,0.00761472831174932,"TAS1R3",4.89982917438492e-05
"DVL1","OK",0.0311002690608129,1.86486351170164,0.00364643181829822,"DVL1",0.0567131494945714
"MXRA8","OK",1.67172515185765e-06,4.64850776919416,0.009061312878248,"MXRA8",4.49582403285504e-06
"AURKAIP1","OK",8.3487248890697e-64,16.8224955733096,0.0333296545972445,"AURKAIP1",5.82589012988511e-63
"CCNL2","OK",1.83722731113651e-30,11.4112418550636,0.0225925043141976,"CCNL2",9.19270688133706e-30
"MRPL20","OK",6.24111605641229e-18,8.54838539422886,0.0169139298675184,"MRPL20",2.49221591221629e-17
"RP4-758J18.13","OK",0.611402445350188,-0.282976163487425,-0.000581901047820698,"RP4-758J18.13",0.667033244388581
"ATAD3C","OK",0.106531247874812,1.24518842669944,0.00241541395672652,"ATAD3C",0.177639367964659
"ATAD3B","OK",0.00511189573223048,2.56816691216211,0.00504714279447341,"ATAD3B",0.0103626639374909
"ATAD3A","OK",0.0551360694098424,1.59697114753353,0.00312047318165632,"ATAD3A",0.0966619194775418
"SSU72","OK",2.57062762490476e-147,25.8210857379323,0.0511830219552901,"SSU72",2.65678993587802e-146
"RP5-832C2.5","OK",0.0259541243531341,1.94389388595727,0.00380559093250203,"RP5-832C2.5",0.0478669490665068
"C1orf233","OK",0.0130701620680105,2.22412070589694,0.00431886992972964,"C1orf233",0.0251927542667886
"RP11-345P4.9","OK",0.00510154565101531,2.56886936305562,0.00504505089349646,"RP11-345P4.9",0.0103444928390968
"MIB2","OK",1.88469699763858e-16,8.14574961335748,0.0161131113214904,"MIB2",7.25551624920674e-16
"MMP23B","OK",1.20668084833351e-11,6.67853890102833,0.0131418281581382,"MMP23B",4.04685505180434e-11
"CDK11B","OK",8.38427621091183e-10,6.0263676314278,0.0119093541739655,"CDK11B",2.63277328177125e-09
"RP11-345P4.10","OK",0.558094098439053,-0.146138817869087,-0.000332420886234961,"RP11-345P4.10",0.650888221397234
"SLC35E2B","OK",1.69237498689813e-05,4.14590442671978,0.00817866554445933,"SLC35E2B",4.27649920495558e-05
"RP11-345P4.7","OK",0.670885844795848,-0.442360565298729,-0.00089993938720077,"RP11-345P4.7",0.706285295410076
"CDK11A","OK",7.68885655160652e-39,12.9825003830526,0.025710059046615,"CDK11A",4.30306856910659e-38
"SLC35E2","OK",0.298418622407369,0.528954166896115,0.00100251147166782,"SLC35E2",0.451989125927697
"NADK","OK",3.79371842222454e-07,4.94569065415333,0.00976179690814613,"NADK",1.05827016323886e-06
"GNB1","OK",8.38730053150644e-38,12.7982229418283,0.0253438374221921,"GNB1",4.65093162492701e-37
"TMEM52","OK",0.00342410461406519,2.70413678502582,0.00521148274752284,"TMEM52",0.0070849437000151
"PRKCZ","OK",0.000322959731094739,3.41156142600709,0.00672051661144165,"PRKCZ",0.00074105950597446
"FAAP20","OK",2.92542810452134e-46,14.2313883352171,0.0281886548137986,"FAAP20",1.77044156658056e-45
"SKI","OK",1.57548935790011e-13,7.28778260170879,0.0144100620786548,"SKI",5.60268542747448e-13
"MORN1","OK",0.499510822982831,0.00122618524980295,-4.30671704140099e-05,"MORN1",0.650888221397234
"RER1","OK",4.78262664413447e-51,14.9824314922485,0.0296783475353288,"RER1",3.02782466220572e-50
"PEX10","OK",0.21622841002277,0.784994454410949,0.00151067013959999,"PEX10",0.338611365398778
"PLCH2","OK",0.152348424210065,1.02641322173233,0.00198733299594815,"PLCH2",0.245835206831003
"PANK4","OK",0.000888896461914945,3.12504263228832,0.00615127601956843,"PANK4",0.00195816140488368
"RP3-395M20.12","OK",0.000408804361890205,3.346763704013,0.00659143979736929,"RP3-395M20.12",0.000929085730484684
"RP3-395M20.8","OK",0.066726294072003,1.50062497401457,0.00292742446815122,"RP3-395M20.8",0.115417618536228
"TNFRSF14","OK",1.316404956393e-304,37.2873344064146,0.0739322855548746,"TNFRSF14",2.00333387857333e-303
"RP3-395M20.9","OK",0.521946811299246,-0.0550402752445819,-0.000154041899882911,"RP3-395M20.9",0.650888221397234
"FAM213B","OK",0.00967957449730118,2.3385420109766,0.00459057634663152,"FAM213B",0.0189942982728422
"MMEL1","OK",0.84516515835194,-1.01591538199168,-0.00204699489112306,"MMEL1",0.852054367703965
"TTC34","OK",0.658274391609267,-0.407758183166644,-0.000830765309027828,"TTC34",0.6971722822806
"MEGF6","OK",0.47966310033784,0.0509991464792788,5.55847020895344e-05,"MEGF6",0.650888221397234
"TPRG1L","OK",0.696029973486173,-0.513016108016932,-0.0010625577625414,"TPRG1L",0.725624132001186
"WRAP73","OK",9.06082069680133e-05,3.74385755579295,0.00738043949021506,"WRAP73",0.000217098931947548
"TP73-AS1","OK",0.0553278749568011,1.59525264766434,0.00311643146253964,"TP73-AS1",0.0969602167514443
"SMIM1","OK",0.123685859579605,1.15675684165832,0.00224368976115726,"SMIM1",0.203351325833507
"LRRC47","OK",8.89800700752593e-11,6.37924758112824,0.0126087683205992,"LRRC47",2.89017389539285e-10
"CEP104","OK",5.76374022951424e-05,3.85596325350226,0.00760270717301042,"CEP104",0.000140140207209629
"DFFB","OK",0.000115698917835083,3.68201495227274,0.00725163472773896,"DFFB",0.000274863204357018
"C1orf174","OK",0.00011698557485837,3.6791951878643,0.00725241836683231,"C1orf174",0.000277772494567191
"RP11-154H17.1","OK",0.610901295758889,-0.281668893522087,-0.000579112768029826,"RP11-154H17.1",0.666820146780345
"NPHP4","OK",0.412809857079909,0.220322864729042,0.00039038049272913,"NPHP4",0.603524128826466
"KCNAB2","OK",1.80557128446057e-47,14.4248384851134,0.028571771255629,"KCNAB2",1.10647464478331e-46
"RPL22","OK",0,153.517778718854,0.304479740621564,"RPL22",0
"RNF207","OK",0.00184767404676655,2.90306086661684,0.00569746143027619,"RNF207",0.00393961626925574
"ICMT","OK",9.98569772583947e-06,4.26521034909017,0.00841232122268881,"ICMT",2.5585421688296e-05
"ACOT7","OK",1.08708973564805e-18,8.7478697822561,0.017294231513892,"ACOT7",4.40463182302573e-18
"RP1-202O8.3","OK",0.828734184896549,-0.949174968775003,-0.00191646900646204,"RP1-202O8.3",0.837564038965876
"ESPN","OK",2.51548073660335e-11,6.57001671319356,0.0129407433524709,"ESPN",8.3350431867381e-11
"TNFRSF25","OK",0,39.7018317788794,0.0787189700745212,"TNFRSF25",0
"PLEKHG5","OK",0.0609800842401774,1.54659818162746,0.0030147399130891,"PLEKHG5",0.106208680136981
"NOL9","OK",1.52931322167777e-09,5.92842038508041,0.0117139591095417,"NOL9",4.75621086141687e-09
"ZBTB48","OK",0.103371306055006,1.26257317829563,0.0024581543795892,"ZBTB48",0.172794956492485
