	tilTemra_001	tilTemra_002	tilTemra_003	pTemra_004	pTemra_005	pTemra_006
ENSG00000000003.L01	0.385797	0.393162	0.589978	0.158257	0.162149	0.162136
ENSG00000000005.L01	0	0	0	0	0	0
ENSG00000000419.L01	18.8343	19.1103	19.8352	25.4387	25.8989	25.938
ENSG00000000457.L01	9.78835	9.80847	8.46715	8.8976	8.96722	9.0385
ENSG00000000460.L01	4.23051	4.31285	6.00246	3.22481	3.33143	3.85885
ENSG00000000460.L02	0	13.0898	0	0	5.16864	0
ENSG00000000938.L01	25.4463	25.828	21.7239	110.799	114.129	122.555
ENSG00000000971.L01	1.70321	1.73454	1.37058	0.678057	0.695126	0.693779
ENSG00000001036.L01	4.00992	3.93233	3.49462	4.635	4.93518	4.67989
ENSG00000001167.L01	19.3297	0	27.7577	14.7034	0	15.4513
ENSG00000001460.L01	1.41233	1.42396	2.07392	1.8253	1.84489	1.85448
ENSG00000001461.L01	21.2051	21.4485	15.6463	26.7496	27.8703	28.1024
ENSG00000001497.L01	18.2477	18.0381	14.9328	21.4543	21.2178	21.1545
ENSG00000001561	0	0	3.23588	0	0	20.5533
ENSG00000001561.L01	3.45733	4.4985	0	19.9446	24.7248	0
ENSG00000001617.L01	0.0192749	0.0192492	0.179207	0.11088	0.10798	0.107233
ENSG00000001626.L01	0	0	0.0288674	0	0	0
ENSG00000001629.L01	20.2931	20.3016	18.7587	24.3963	23.9455	23.991
ENSG00000002079.L01	0	0	0	0	0	0
ENSG00000002330.L01	8.1513	8.10146	5.72636	13.2213	13.1422	13.1903
ENSG00000002549.L01	29.2115	33.1563	29.2893	18.7852	19.7774	19.9709
ENSG00000002586.L01	130.655	128.266	95.4027	303.028	297.356	297.979
ENSG00000002587.L01	0	0	0.00895707	0	0	0
ENSG00000002726.L01	0	0	0.083749	0	0	0
ENSG00000002745.L01	0.0751407	0.0760946	0.0952369	0.132333	0.134445	0.134808
ENSG00000002746.L01	0	0	0.0117941	0	0	0
ENSG00000002822.L01	26.0541	25.5597	26.3084	23.5278	22.7908	23.1208
ENSG00000002834.L01	44.1055	44.1414	36.5921	85.5942	85.639	86.349
ENSG00000002919.L01	10.7549	10.8586	12.9561	19.0981	19.2709	19.4572
ENSG00000002933.L01	0.137377	0.138767	0.595388	0.0484894	0.0484	0.0489552
ENSG00000003056.L01	73.21	73.2873	66.7926	96.9364	92.6498	99.3811
ENSG00000003096.L01	0.0895948	0.0910462	0.110451	0	0	0
ENSG00000003137.L01	0.036961	0.0367554	0.0357629	0	0	0
ENSG00000003147.L01	0.399473	0.403079	0.964165	0.548906	0.556372	0.562183
ENSG00000003249.L01	1.05688	1.05584	0.698999	0.0795249	0.0794158	0.0803338
ENSG00000003393.L01	3.71649	3.77367	4.92589	5.06195	5.14568	5.15257
ENSG00000003400.L01	12.632	13.9703	14.225	11.0131	3.8634	3.69089
ENSG00000003402.L01	93.1917	90.9561	75.2182	138.352	136.191	136.637
ENSG00000003436.L01	0.124853	0.138999	1.83348	0.0492439	0.0503301	0.0506421
ENSG00000003509.L01	11.6249	11.7913	12.0132	17.4275	17.7318	17.9094
ENSG00000003987.L01	0.575368	1.91799	2.6418	1.10313	2.37293	2.21145
ENSG00000003987.L02	0	0.566682	0.685863	0	1.0894	1.12835
ENSG00000003989.L01	0	0	0.0745538	0	0	0
ENSG00000004142	18.8047	18.8759	16.2454	24.4704	24.5314	24.7599
ENSG00000004399.L01	42.1146	43.0366	16.2603	79.3649	81.1762	96.7678
ENSG00000004455.L01	35.0979	35.3499	27.9702	31.1246	31.472	31.6547
ENSG00000004468.L01	15.5348	15.6649	9.61327	5.07255	5.17088	5.17955
