"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",2.44411148003421,2.11739345139143,1.22304122469054,1.73125272365793,0.0834066994595059,0.310260215086355
"A2M",3.55796475510162,-0.851900514557806,0.952320085481929,-0.894552711367728,0.371026240226779,0.733682609237633
"A2MP1",3.6751096534306,-1.27186259089915,1.46157745422985,-0.870198556510532,0.384191904658274,0.745598005827527
"AAAS",22.7975782470219,-0.0504113574491712,0.369053760288578,-0.136596243890734,0.891349945613089,0.972562813051025
"AACS",4.73072779436644,0.660764811119465,0.779559398319803,0.847613167827394,0.396653438554023,0.756144811296868
"AAGAB",17.25734292362,-0.22805629495568,0.418747249949431,-0.544615624301344,0.586017906563929,0.870759540390977
"AAMP",39.0234877914282,0.404963300943874,0.277144070787617,1.46120138811921,0.143960182219834,0.444003509372751
"AAR2",13.2599640814204,-0.861065880218088,0.489240182714568,-1.76000645621631,0.0784067119121313,0.298094722191883
"AARS1",7.55116988095918,1.20715921572657,1.9817098548468,0.609150331858185,0.542424798507814,0.854368168931684
"AARS2",6.64761559022754,0.112157843111128,1.98812091551724,0.0564139948610463,0.955012008423411,0.987675002287047
"AASDH",5.08858288419137,0.82963175184298,0.754489073704239,1.09959412370257,0.271509003440587,0.635298651401331
"AASDHPPT",11.5222806861597,-0.171912130344529,0.50854881955892,-0.338044497858896,0.735329655106873,0.932742636690295
"AASS",2.18643635227075,0.469335078723588,1.12192571945759,0.418329904185187,0.675705928445954,0.909564335534447
"AATK",4.11472485372989,5.61021357359235,3.30034716152447,1.69988589048945,0.0891523913873874,0.325435847298644
"ABAT",4.56131700592401,-0.60201150025489,0.800617392190047,-0.751934077534987,0.452090703624502,0.794866112027516
"ABCA2",104.261163560514,-1.15179365584458,0.180426437144046,-6.38372997924375,1.72825722597872e-10,5.52413855140107e-09
"ABCA3",4.1032819540376,-0.338899442915344,0.832722423125826,-0.406977683683841,0.684024378774377,0.91239787044532
"ABCA7",51.253697904278,0.922421634963315,0.31412002521017,2.93652604397362,0.00331910948613606,0.0262364859560575
"ABCB1",21.6300469173768,0.964046505184249,0.379070250731212,2.5431869246522,0.0109846447022971,0.0693642434864881
"ABCB10",7.73661323344835,-0.18906640637677,0.606817373251291,-0.311570523045119,0.755366939026377,0.937939736409359
"ABCB7",11.8208616745459,0.660139687392585,0.498595905411382,1.32399740998257,0.185503904894001,0.510993207150822
