"ACTB" "ANTKMT" "BST2" "EML3" "GAPVD1" "MAN1B1" "MRPL24" "PITRM1" "PNMA1" "TENT4B"
"ACTB" 1 0.467297988795798 0.454586695697632 0.44072929639012 0.46547350504125 0.43768066639611 0.439647065452572 0.448879083422393 0.41868051526762 0.460058879144988
"ANTKMT" 0.467297988795798 1 0.446896702840952 0.421929699405184 0.45866029365216 0.412033951823504 0.415563421836629 0.43934162712852 0.390423995784965 0.450152253034294
"BST2" 0.454586695697632 0.446896702840952 1 0.430176166089676 0.43620191993584 0.402076621005056 0.416996531439873 0.408877914693762 0.402871698402732 0.436929259539331
"EML3" 0.44072929639012 0.421929699405184 0.430176166089676 1 0.433253392854016 0.474475026170494 0.473039585732502 0.445268216057455 0.464760132179646 0.45754596860388
"GAPVD1" 0.46547350504125 0.45866029365216 0.43620191993584 0.433253392854016 1 0.435548442774871 0.434362916987089 0.453285283875669 0.408986572063724 0.460168336370611
"MAN1B1" 0.43768066639611 0.412033951823504 0.402076621005056 0.474475026170494 0.435548442774871 1 0.486193022617365 0.472328699481485 0.483836006082144 0.469188244272996
"MRPL24" 0.439647065452572 0.415563421836629 0.416996531439873 0.473039585732502 0.434362916987089 0.486193022617365 1 0.454589597190426 0.476500238814933 0.462893976235075
"PITRM1" 0.448879083422393 0.43934162712852 0.408877914693762 0.445268216057455 0.453285283875669 0.472328699481485 0.454589597190426 1 0.433306236638894 0.461024353027116
"PNMA1" 0.41868051526762 0.390423995784965 0.402871698402732 0.464760132179646 0.408986572063724 0.483836006082144 0.476500238814933 0.433306236638894 1 0.445003154850981
"TENT4B" 0.460058879144988 0.450152253034294 0.436929259539331 0.45754596860388 0.460168336370611 0.469188244272996 0.462893976235075 0.461024353027116 0.445003154850981 1
