"ACTB" "ANTKMT" "BRI3" "BRWD3" "BST2" "DDX42" "EML3" "GAPVD1" "LETMD1" "MAN1B1" "MRPL24" "NPIPB12" "OST4" "OXA1L" "PITRM1" "PNMA1" "SIK3" "SUPT6H" "TENT4B" "UBL7"
"ACTB" 1 0.467297988795798 0.407405801231907 0.421031374285827 0.454586695697632 0.404231520996813 0.44072929639012 0.46547350504125 0.43404618671484 0.43768066639611 0.439647065452572 0.43971628601381 0.4469061275975 0.445237929293965 0.448879083422393 0.41868051526762 0.457442320119073 0.464208818000642 0.460058879144988 0.460352205210023
"ANTKMT" 0.467297988795798 1 0.372832728630822 0.394974635861 0.446896702840952 0.375682303534871 0.421929699405184 0.45866029365216 0.425173129568705 0.412033951823504 0.415563421836629 0.414864427325678 0.437746272272792 0.43058462311179 0.43934162712852 0.390423995784965 0.458578102058574 0.464414496972221 0.450152253034294 0.445664646363441
"BRI3" 0.407405801231907 0.372832728630822 1 0.439495123301417 0.411377324716993 0.44220183558716 0.451170079232195 0.378370781629912 0.401604864386066 0.448369412406127 0.457067548413557 0.43790901326282 0.406075703391365 0.371946580965212 0.400654416142865 0.463257991019001 0.345975563049959 0.347703898262665 0.425359372449252 0.381492124573834
"BRWD3" 0.421031374285827 0.394974635861 0.439495123301417 1 0.388325047851116 0.474683407444476 0.460170306292493 0.416924194183157 0.360733736929639 0.488839695371939 0.47143308098154 0.494514718480292 0.378526979285802 0.446316189644492 0.455448029582539 0.471138317382354 0.405111764540484 0.400154126866779 0.452265889989637 0.439033496118983
"BST2" 0.454586695697632 0.446896702840952 0.411377324716993 0.388325047851116 1 0.382131645360714 0.430176166089676 0.43620191993584 0.455405324740183 0.402076621005056 0.416996531439873 0.3964399059211 0.459106443740797 0.399857945998706 0.408877914693762 0.402871698402732 0.414090225513874 0.429943876768291 0.436929259539331 0.429062051764466
"DDX42" 0.404231520996813 0.375682303534871 0.44220183558716 0.474683407444476 0.382131645360714 1 0.449147750943538 0.392195100248665 0.362885368402567 0.486043309840285 0.473679972572209 0.486240532008815 0.37627839742109 0.416652629058001 0.438262065981159 0.471759222232219 0.374442249459459 0.374661045712057 0.438435715478261 0.414737779772098
"EML3" 0.44072929639012 0.421929699405184 0.451170079232195 0.460170306292493 0.430176166089676 0.449147750943538 1 0.433253392854016 0.410912594864859 0.474475026170494 0.473039585732502 0.473865244607278 0.422960910353676 0.432084027171397 0.445268216057455 0.464760132179646 0.411457793978672 0.415938742350437 0.45754596860388 0.446047710636415
"GAPVD1" 0.46547350504125 0.45866029365216 0.378370781629912 0.416924194183157 0.43620191993584 0.392195100248665 0.433253392854016 1 0.407467639124993 0.435548442774871 0.434362916987089 0.441552858211405 0.423090426747599 0.438386541193072 0.453285283875669 0.408986572063724 0.45974629604722 0.4604918936919 0.460168336370611 0.45209307386829
"LETMD1" 0.43404618671484 0.425173129568705 0.401604864386066 0.360733736929639 0.455405324740183 0.362885368402567 0.410912594864859 0.407467639124993 1 0.371528063100978 0.391664354175654 0.361396372851605 0.453097071001442 0.364983668414544 0.376672058828539 0.382460313896962 0.382304045563214 0.395669661355359 0.410311233495851 0.394874426780766
"MAN1B1" 0.43768066639611 0.412033951823504 0.448369412406127 0.488839695371939 0.402076621005056 0.486043309840285 0.474475026170494 0.435548442774871 0.371528063100978 1 0.486193022617365 0.495420024915581 0.390609075678506 0.46271863302072 0.472328699481485 0.483836006082144 0.424379260338333 0.418912329719701 0.469188244272996 0.45764086827413
"MRPL24" 0.439647065452572 0.415563421836629 0.457067548413557 0.47143308098154 0.416996531439873 0.473679972572209 0.473039585732502 0.434362916987089 0.391664354175654 0.486193022617365 1 0.489281890546488 0.407212665406139 0.446775495922519 0.454589597190426 0.476500238814933 0.415763755767986 0.415760452581548 0.462893976235075 0.453854458942827
"NPIPB12" 0.43971628601381 0.414864427325678 0.43790901326282 0.494514718480292 0.3964399059211 0.486240532008815 0.473865244607278 0.441552858211405 0.361396372851605 0.495420024915581 0.489281890546488 1 0.382733818541299 0.471624462504248 0.482295996796763 0.483525306876877 0.434930568809508 0.426452735203377 0.474061801813691 0.463840947949156
"OST4" 0.4469061275975 0.437746272272792 0.406075703391365 0.378526979285802 0.459106443740797 0.37627839742109 0.422960910353676 0.423090426747599 0.453097071001442 0.390609075678506 0.407212665406139 0.382733818541299 1 0.384599410840596 0.39724457931794 0.395360769654536 0.401586619433231 0.413351621598712 0.426610868575776 0.41188762820866
