nodeName	altName	nodeAttr[nodesPresent, ]
ABCF3	NA	brown
ACIN1	NA	brown
ACTB	NA	brown
ADAT2	NA	brown
ADIPOR1	NA	brown
ADNP	NA	brown
AGFG1	NA	brown
AGFG2	NA	brown
AGPAT2	NA	brown
AKAP8L	NA	brown
AKAP9	NA	brown
ALG8	NA	brown
ALYREF	NA	brown
ANKFY1	NA	brown
ANKRD10	NA	brown
ANKZF1	NA	brown
ANTKMT	NA	brown
AP4B1	NA	brown
AQR	NA	brown
ARAF	NA	brown
ARHGAP45	NA	brown
ARHGEF1	NA	brown
ARHGEF6	NA	brown
ARIH1	NA	brown
ARMC8	NA	brown
ASCC2	NA	brown
ATAD1	NA	brown
ATG2B	NA	brown
ATP13A1	NA	brown
ATP6V0A2	NA	brown
AUTS2	NA	brown
B4GALT1	NA	brown
BANF1	NA	brown
BBS2	NA	brown
BCL2L11	NA	brown
BCL2L13	NA	brown
BRD1	NA	brown
BRD4	NA	brown
BRI3	NA	brown
BRWD3	NA	brown
BST2	NA	brown
C12orf57	NA	brown
C1orf43	NA	brown
C1orf52	NA	brown
C4orf3	NA	brown
CALM1	NA	brown
CAND1	NA	brown
CARD19	NA	brown
CBFB	NA	brown
CBX3	NA	brown
CCAR1	NA	brown
CCDC85B	NA	brown
CCDC88B	NA	brown
CCDC93	NA	brown
CCM2	NA	brown
CCND3	NA	brown
CCT7	NA	brown
CCZ1	NA	brown
CD38	NA	brown
CD53	NA	brown
CDC34	NA	brown
CDC37	NA	brown
CDIP1	NA	brown
CDK17	NA	brown
CDK4	NA	brown
CDK5RAP2	NA	brown
CEBPB	NA	brown
CEBPZ	NA	brown
CEMIP2	NA	brown
CENPT	NA	brown
CEP57	NA	brown
CEP95	NA	brown
CHD4	NA	brown
CHD6	NA	brown
CIAPIN1	NA	brown
CKS2	NA	brown
CLASP2	NA	brown
CLASRP	NA	brown
CLINT1	NA	brown
CLK3	NA	brown
CMC2	NA	brown
CMTR1	NA	brown
COG5	NA	brown
COMMD6	NA	brown
COMT	NA	brown
COPA	NA	brown
COPS3	NA	brown
COQ8A	NA	brown
COX14	NA	brown
COX7A2L	NA	brown
CROCC	NA	brown
CRTC2	NA	brown
CSNK1D	NA	brown
CTC1	NA	brown
CTPS1	NA	brown
CTSZ	NA	brown
CTU2	NA	brown
CUL1	NA	brown
CUL3	NA	brown
CWF19L1	NA	brown
CXXC1	NA	brown
CYBC1	NA	brown
D2HGDH	NA	brown
DDX17	NA	brown
DDX23	NA	brown
DDX42	NA	brown
DGLUCY	NA	brown
DHX15	NA	brown
DHX30	NA	brown
DHX36	NA	brown
DHX38	NA	brown
DHX40	NA	brown
DLST	NA	brown
DNAJA2	NA	brown
DNAJC2	NA	brown
DRAP1	NA	brown
DUSP1	NA	brown
DUSP6	NA	brown
DXO	NA	brown
DYNLL1	NA	brown
EFTUD2	NA	brown
EHMT1	NA	brown
EIF2B4	NA	brown
EIF2B5	NA	brown
EIF3G	NA	brown
EIF3K	NA	brown
EIF3M	NA	brown
EIF4G1	NA	brown
EML3	NA	brown
EML4	NA	brown
ENO1	NA	brown
EPC1	NA	brown
EPC2	NA	brown
EPHA4	NA	brown
ERAP2	NA	brown
ERGIC1	NA	brown
ESS2	NA	brown
EVL	NA	brown
EXOC3	NA	brown
EXOSC10	NA	brown
EXOSC2	NA	brown
EXOSC9	NA	brown
FAM133B	NA	brown
FAM174C	NA	brown
FBL	NA	brown
FBXO11	NA	brown
FBXO38	NA	brown
FCER1G	NA	brown
FLI1	NA	brown
FOXJ3	NA	brown
FRAT2	NA	brown
FTL	NA	brown
FUBP1	NA	brown
FYB1	NA	brown
GABARAPL2	NA	brown
GADD45GIP1	NA	brown
GAPVD1	NA	brown
GARS1	NA	brown
GATAD2B	NA	brown
GCN1	NA	brown
GCSAM	NA	brown
GDI1	NA	brown
GIMAP6	NA	brown
GIMAP7	NA	brown
GLS	NA	brown
GNA13	NA	brown
GOLGB1	NA	brown
GORAB	NA	brown
GPR171	NA	brown
GPR65	NA	brown
GPRIN3	NA	brown
GRIPAP1	NA	brown
GTF2A2	NA	brown
GTPBP3	NA	brown
H1-10	NA	brown
H2AW	NA	brown
HAGH	NA	brown
HDAC4	NA	brown
HDAC6	NA	brown
HERC2	NA	brown
HGSNAT	NA	brown
HINFP	NA	brown
HLA-F	NA	brown
HMGN1	NA	brown
HMGXB3	NA	brown
HNRNPD	NA	brown
HNRNPLL	NA	brown
HPS4	NA	brown
HSF2	NA	brown
HSPA1B	NA	brown
HSPA6	NA	brown
ID2	NA	brown
IER2	NA	brown
IFITM3	NA	brown
IFITM3P6	NA	brown
IKZF5	NA	brown
IL27RA	NA	brown
IL2RB	NA	brown
IMMT	NA	brown
INTS11	NA	brown
IPO5	NA	brown
IRAK4	NA	brown
IRF2	NA	brown
ITFG1	NA	brown
ITM2A	NA	brown
KANSL1	NA	brown
KANSL3	NA	brown
KDM7A	NA	brown
KPNA1	NA	brown
KRCC1	NA	brown
KRR1	NA	brown
LAIR1	NA	brown
LETMD1	NA	brown
LGALS8	NA	brown
LINC01237	NA	brown
LINS1	NA	brown
LMBR1L	NA	brown
LRIG1	NA	brown
MACO1	NA	brown
MAN1B1	NA	brown
MAP1LC3B	NA	brown
MAPK8	NA	brown
MARCHF6	NA	brown
MARF1	NA	brown
MARK2	NA	brown
MAU2	NA	brown
MBTPS1	NA	brown
MCM6	NA	brown
MDM4	NA	brown
MED12	NA	brown
MED21	NA	brown
MED23	NA	brown
