"direction","fromAltName","interaction","name","selected","shared interaction","shared name","toAltName","weight"
"undirected",,"interacts with","AKR1B1 (interacts with) MXD4","false","interacts with","AKR1B1 (interacts with) MXD4",,"0.536147186022741"
"undirected",,"interacts with","EMP3 (interacts with) MRGBP","false","interacts with","EMP3 (interacts with) MRGBP",,"0.502353159834079"
"undirected",,"interacts with","PJA2 (interacts with) PPP1CA","false","interacts with","PJA2 (interacts with) PPP1CA",,"0.524312225328782"
"undirected",,"interacts with","OSBPL5 (interacts with) PTMS","false","interacts with","OSBPL5 (interacts with) PTMS",,"0.542639890602254"
"undirected",,"interacts with","ILRUN (interacts with) NOP14-AS1","false","interacts with","ILRUN (interacts with) NOP14-AS1",,"0.54997604084833"
"undirected",,"interacts with","IGF2R (interacts with) RHBDD2","false","interacts with","IGF2R (interacts with) RHBDD2",,"0.507672103014075"
"undirected",,"interacts with","ICAM3 (interacts with) WDR81","false","interacts with","ICAM3 (interacts with) WDR81",,"0.502349413370601"
"undirected",,"interacts with","FBXO6 (interacts with) TADA3","false","interacts with","FBXO6 (interacts with) TADA3",,"0.52430859590956"
"undirected",,"interacts with","BEX4 (interacts with) RASGEF1A","false","interacts with","BEX4 (interacts with) RASGEF1A",,"0.549974374644878"
"undirected",,"interacts with","EMC10 (interacts with) PSMD8","false","interacts with","EMC10 (interacts with) PSMD8",,"0.521476301826622"
"undirected",,"interacts with","GIPC1 (interacts with) TM9SF2","false","interacts with","GIPC1 (interacts with) TM9SF2",,"0.515850279182876"
"undirected",,"interacts with","FGR (interacts with) LRRC14","false","interacts with","FGR (interacts with) LRRC14",,"0.54613412521504"
"undirected",,"interacts with","B4GALT5 (interacts with) PDLIM1","false","interacts with","B4GALT5 (interacts with) PDLIM1",,"0.507670213953824"
"undirected",,"interacts with","BEX4 (interacts with) COMMD8","false","interacts with","BEX4 (interacts with) COMMD8",,"0.539303291886705"
"undirected",,"interacts with","SNX17 (interacts with) ZEB2","false","interacts with","SNX17 (interacts with) ZEB2",,"0.513030930568237"
"undirected",,"interacts with","CYRIB (interacts with) MOV10","false","interacts with","CYRIB (interacts with) MOV10",,"0.505074534505722"
"undirected",,"interacts with","MEX3C (interacts with) WDR13","false","interacts with","MEX3C (interacts with) WDR13",,"0.542623410361151"
"undirected",,"interacts with","B4GALT5 (interacts with) PJA2","false","interacts with","B4GALT5 (interacts with) PJA2",,"0.549966778287842"
