fromNode	toNode	weight	direction	fromAltName	toAltName
POP4	QTRT1	0.577962878922891	undirected	NA	NA
ANXA6	WSB1	0.577679315505605	undirected	NA	NA
ANXA6	B2M	0.577457853426896	undirected	NA	NA
ANXA6	FAM117A	0.577444179143219	undirected	NA	NA
GLTP	QTRT1	0.57734916828474	undirected	NA	NA
ANXA6	PDZD11	0.5772900967693	undirected	NA	NA
ANXA6	RTL6	0.57724392673771	undirected	NA	NA
ANXA6	NCR1	0.576980967201531	undirected	NA	NA
B2M	CAPNS1	0.576955342065886	undirected	NA	NA
PTPN18	QTRT1	0.576921777689171	undirected	NA	NA
ABHD17A	ANXA6	0.576875138430367	undirected	NA	NA
GET3	GLTP	0.576757831265788	undirected	NA	NA
CAPNS1	RTL6	0.576729738862429	undirected	NA	NA
CAPNS1	NCR1	0.57665595532932	undirected	NA	NA
CAPNS1	FAM117A	0.576529135622517	undirected	NA	NA
PPIA	QTRT1	0.576524243037919	undirected	NA	NA
B2M	GLTP	0.5764655459708	undirected	NA	NA
ANXA6	GET3	0.576371348384255	undirected	NA	NA
ANXA6	FHIP1B	0.576333345532129	undirected	NA	NA
GLTP	NCR1	0.576168936758912	undirected	NA	NA
QTRT1	WSB1	0.5761617174381	undirected	NA	NA
CAPNS1	POP4	0.576155378369426	undirected	NA	NA
CAPNS1	WSB1	0.576130120269529	undirected	NA	NA
ANXA6	RPS6KA1	0.576110788358765	undirected	NA	NA
CAPNS1	QTRT1	0.576067804319997	undirected	NA	NA
RPS6KA1	SCP2	0.575997858822735	undirected	NA	NA
GLTP	VAMP7	0.575940025233941	undirected	NA	NA
GLTP	RTL6	0.575911451598796	undirected	NA	NA
GLTP	PGAM1	0.575828251709477	undirected	NA	NA
CST7	FHIP1B	0.575608977189528	undirected	NA	NA
FAM117A	GLTP	0.575524443418794	undirected	NA	NA
PSMB7	RPS6KA1	0.575492342356402	undirected	NA	NA
ANXA6	PGPEP1	0.575477208150665	undirected	NA	NA
FOXO4	LPGAT1	0.575437684350559	undirected	NA	NA
CAPNS1	GLTP	0.575316199895859	undirected	NA	NA
CAPNS1	PTPN18	0.575246955076832	undirected	NA	NA
B2M	QTRT1	0.575201132985495	undirected	NA	NA
APEX1	QTRT1	0.575173877121055	undirected	NA	NA
QTRT1	RTL6	0.575059395395279	undirected	NA	NA
FAM117A	QTRT1	0.574984759063208	undirected	NA	NA
RPS6KA1	TTC38	0.574982405452848	undirected	NA	NA
IFI27L2	RPS6KA1	0.574978762942487	undirected	NA	NA
DUSP12	GBA	0.574955371848065	undirected	NA	NA
CAPNS1	GET3	0.574926034771559	undirected	NA	NA
FOXO4	LINC00528	0.574853367536014	undirected	NA	NA
CST7	PGPEP1	0.574788299623647	undirected	NA	NA
GBA	QTRT1	0.574663397352	undirected	NA	NA
PGAM1	RTL6	0.574622285941943	undirected	NA	NA
CWC15	QTRT1	0.574616187008084	undirected	NA	NA
NCR1	QTRT1	0.574603529079911	undirected	NA	NA
DUSP12	SLFN13	0.574597757064617	undirected	NA	NA
FAM117A	PGAM1	0.574545055730721	undirected	NA	NA
DUSP12	FOXO4	0.574499859252453	undirected	NA	NA
FOXO4	SRP14	0.574480051088797	undirected	NA	NA
ANXA6	TTC38	0.574452822498017	undirected	NA	NA
ANXA6	QTRT1	0.574438811943905	undirected	NA	NA
GNAI2	QTRT1	0.574379936891587	undirected	NA	NA
DDOST	SRP14	0.574265881034618	undirected	NA	NA
GLTP	WSB1	0.574265388199925	undirected	NA	NA
FOXO4	PSME1	0.574262154346581	undirected	NA	NA
LGALS1	RTL6	0.574215957027096	undirected	NA	NA
FOXO4	ITGB2	0.57419380146901	undirected	NA	NA
CST7	WSB1	0.574112486333772	undirected	NA	NA
DNAJC1	RPS6KA1	0.574110495045785	undirected	NA	NA
